ox,oy,dx,dy
429265.32008360606,4417677.467463457,427182.34702053986,4420486.507500492
436278.08646515146,4416816.522167972,437496.68938498036,4415081.553311947
437858.4015989405,4415606.948193029,443471.2006874255,4409627.337786628
443573.00113919243,4410899.69373725,450845.45542525465,4417848.756032942
451026.65846532286,4418380.3628802085,447060.430685507,4412777.20057453
450260.2378866857,4411984.310074814,452916.22081177274,4411411.423307018
455786.50254874455,4415871.721415891,453487.55270680157,4416027.44699867
453481.5380129402,4416162.89532733,453764.3788181773,4423188.192452325
453650.00965571543,4423062.35367914,452614.3517929074,4422587.0071065305
453216.8329889444,4422766.425758143,452316.2138136857,4424768.8038692335
450229.7027465823,4424344.831409037,451547.2424440075,4424172.06386529
449730.5945784224,4422350.193604871,458254.9888812733,4419341.884646004
458236.37086417526,4419375.284379386,454870.0834967665,4417627.44125998
454869.35832182324,4417793.935319301,464902.87068376376,4433256.872523067
464740.4992960505,4436497.549150211,441012.5192554412,4411374.089876737
440567.31546874926,4414741.819527663,433732.61837373907,4415890.2634888245
433618.5487171718,4416833.630571408,431234.44968233065,4420473.315436956
430469.9531953305,4418819.68714059,451392.17523949954,4425568.261226306
451344.48911742785,4425455.35058822,449703.9678398304,4436265.980854398
449417.7462637719,4427208.321730244,468865.6549679676,4442116.909875941
452087.1307971631,4422154.094587568,464757.75292831945,4436540.756892377
451494.66167598986,4421411.957898085,456692.86275559873,4420555.978264543
456819.6757258711,4420618.525360726,445297.5318773612,4417550.184095575
445141.14828080527,4418389.322147862,443467.896168451,4419237.333813567
443470.6895347797,4419152.956068596,446314.02812480886,4412700.269708501
446025.35503910563,4412762.239142923,446945.22056299605,4415155.497613589
446945.22056299605,4415155.497613589,448026.5729739578,4412592.981450467
448095.8428180097,4412716.823960912,442619.0431319062,4424431.661232798
441842.10068711906,4425694.046375426,440210.2203415389,4426340.485894082
444144.5788904127,4426321.70059946,447298.2542486428,4424292.402265217
442806.511418453,4424261.53554697,448729.17640365724,4418377.692948416
448761.8731647725,4418155.484081161,446167.6650358526,4417661.6532078795
446183.4245056778,4417835.804503985,449737.06965650525,4416588.420273578
449433.90961501875,4416380.642833121,446810.9975390311,4412209.532112425
447029.3895242411,4412494.380702761,443757.9265466328,4413707.611211369
442754.4103798039,4413210.032964875,441051.3759835957,4417517.41497976
440651.5095287178,4416442.737418891,464550.7075477731,4436389.658743835
444272.78122747963,4425755.785734308,449717.49895523465,4431740.5369533375
448833.10816174984,4424437.331604118,447214.6930054772,4423819.0278586885
447238.1887623952,4424251.749540736,435585.3257783693,4415568.059977261
441283.30065763346,4416329.077116799,438687.6292482882,4417608.1821830915
438610.565692376,4417592.151968993,433473.79624289664,4416312.087481622
448218.716037631,4416710.670070432,450447.2500505738,4422338.841006395
451969.74796159466,4420742.983847021,466626.08528399974,4432899.475094859
453276.5569602988,4429293.673505896,466681.4312063694,4433653.989614392
455896.1308185728,4426392.167671054,455810.83824749244,4424788.79382723
453357.0401921356,4425296.243302676,455822.18428758567,4415241.076919181
455823.425797422,4415160.045179903,461492.03751173057,4402837.183156615
454393.8675404729,4406566.558792906,455714.69455098576,4405231.357375281
452168.6225203692,4410195.143852756,445984.30474905495,4414578.399221049
445999.61804048263,4414809.159923888,466690.9596638003,4433687.245960942
466734.0924598614,4433408.462499521,448805.16223579,4423074.493601072
447816.8244097171,4423193.303334597,453321.4325630163,4417803.244502278
453113.0227799409,4417689.088548619,440411.5855393032,4411877.118208669
440480.3641304184,4411920.980860188,464756.9982590574,4436561.849375891
464581.6328417904,4436621.493131609,449237.7582041832,4418767.213939537
449126.03490046813,4419187.517857508,440685.4070523514,4425192.378951381
440655.4363933129,4426058.396814345,442889.3011777545,4426872.682806121
442894.33599859924,4426974.762837626,443878.5626150077,4421968.139751923
442738.04380631837,4422651.482682994,443640.56541601894,4423171.989497356
444372.4717275442,4423972.446934646,452931.93576063105,4419787.985322027
453499.0238860322,4420574.783872712,453356.99883798376,4418447.899748496
453333.22436779254,4418473.573631062,453469.8125899152,4416202.92431437
453495.88529731455,4417535.795337247,450704.72739946604,4427932.448739039
449749.8859801062,4424497.825555666,456389.29004109907,4413629.539960359
453305.0812959841,4417226.178424882,464474.0840085504,4419779.885264391
466649.25319277926,4433707.407889599,454990.37137911003,4416572.2970747715
452712.80090633745,4419176.653993603,451320.27865270193,4418451.74040206
451348.20664343995,4418408.274617655,454339.1664784496,4414894.620152609
454383.7886534628,4414920.991869328,456833.6125012757,4413862.320864645
452868.89860602934,4417606.236840888,449481.22182550374,4416166.11104316
451311.698735206,4419384.146099483,451284.2527692672,4412129.778490754
450872.42886339757,4412870.51758937,445962.10150248604,4412768.235681637
447096.51656537125,4414653.863419725,446500.10318468744,4414843.377140808
446874.07829599,4415376.871204381,446877.1582591655,4415819.718337523
451533.0361130562,4421400.6144014085,446947.93140262406,4424759.908057102
447203.25097831717,4424879.119648642,448706.27740345604,4426781.308780882
448805.3527162678,4426913.837081846,450524.26487676427,4417352.467646771
450468.0410953894,4417250.717687954,456625.6326087557,4414737.007237308
455889.3746931593,4415030.912782275,456327.50573909294,4417481.332742917
456367.7052471659,4417485.542581837,451464.83432838373,4427856.524677476
451465.78705947695,4427872.05799642,452778.8488626328,4427347.666993594
453288.1245300464,4427424.44036521,459308.01332477835,4425615.07688567
458727.0904736002,4425247.484583002,456477.24146573164,4425140.137574096
456050.3374589105,4425151.468965437,450031.762759551,4425936.693413274
450013.0587175742,4425949.025722548,443921.77606197627,4417967.521086174
444153.63660043833,4417880.354391776,440108.37431347166,4414776.482184274
442255.5978531502,4416356.071961493,450400.3713673928,4420910.642315308
452241.8303842407,4420392.753107053,449261.2083474915,4427290.390942471
449365.3347146021,4427286.367517705,453623.6924347936,4421685.075068494
453971.0621335778,4422335.61524937,452502.1968638483,4423369.107278894
452299.3324548174,4422617.830838017,446862.7868387234,4412891.785739396
446714.50412749045,4412847.310212365,443849.5733979412,4432274.462146656
443904.862510648,4432251.854089526,444356.9287619077,4431886.676039889
444397.9294620006,4431893.035805549,443328.320594469,4431249.377493939
442922.84040378203,4431226.882116098,441227.18218472303,4431205.395551514
440889.6984834433,4430930.515508984,443550.1099482237,4426295.006467848
442741.5388920086,4424253.1438833345,440317.83009511343,4424491.5239002
440307.75605290063,4424513.802421713,447123.5816546511,4427056.311307575
447157.6759098787,4427048.30474501,448657.61479036626,4426655.10128962
448242.52041525795,4426506.957727136,440973.40683352674,4430171.743410788
440964.4766175317,4430230.642063748,439381.2875516454,4431286.493156891
439350.0336235768,4431433.261654837,439815.8886309326,4432721.590799933
440115.1310812456,4432370.688041846,451907.8272643186,4423793.506071853
453202.2165168275,4422750.976281494,456374.6433527324,4417951.673000859
440718.23080536054,4408724.688571949,444731.48686752556,4417882.80811544
443824.5759635976,4417071.390348322,445143.6936544382,4420288.440453984
439277.5497062975,4418801.125223814,443955.6532676931,4415129.116648463
444196.5771130281,4414983.059249247,436640.77020560484,4418693.805952562
437404.1481112675,4417457.652586546,438311.5669978034,4409668.298844999
438211.3160964148,4411664.8167161215,445675.561520208,4410962.169684033
443824.0670126737,4410719.144710173,441220.6445014201,4406947.118659376
442158.1609436112,4402773.268523356,437461.6609400678,4401463.758789407
437395.67568279826,4402405.532458205,438384.2757476985,4403918.155016934
439806.50975499966,4401603.727002475,436086.1719353229,4427872.488900167
437240.8536693736,4431758.966242384,441366.6022727266,4416377.275399859
442983.6578261534,4400102.142197917,456013.08802752773,4425798.780797618
452133.4312705471,4426258.395142742,438722.76889747346,4422831.446440668
440212.91080051695,4425922.001528224,444881.1618586912,4415526.405191904
440725.18005595944,4408737.954162417,444726.92911021534,4417961.647972661
444471.51102645695,4417043.348699111,472608.27051651897,4472698.801459358
444680.2381129878,4424247.697472495,443147.3717980795,4412340.228739863
439803.2750757948,4401628.171065609,453047.0339959635,4418772.792281776
452933.84210662486,4418988.817583139,447248.03710190183,4414057.8862685235
447085.89250267646,4414231.048430632,436270.0921662304,4409187.76312297
438510.7561709219,4408898.605368484,456334.0589751595,4417879.759679179
455910.8792990437,4425990.282346199,435897.3831439396,4415970.576148653
439041.7459635728,4408410.418221825,438289.03195183194,4404107.612314301
440724.3328860792,4408739.070672376,444735.25428170536,4417812.853638312
443262.9292678828,4417072.213610046,449636.6145186839,4421572.738529435
448993.6733927344,4419714.5168831535,454809.4423073611,4413444.48082453
455323.4202055613,4410804.28673139,448190.4828903693,4412293.295790735
448192.9380867732,4412403.162957127,449795.22321274964,4415811.07946683
448109.9964230517,4412281.632248773,445716.27584721707,4411394.757805975
445712.0694417475,4411404.77713684,451616.55747246905,4415031.24983727
451517.6836740953,4413463.541305383,450770.15618956054,4412794.590162437
450537.8939207941,4412061.314277619,453474.60746889864,4416989.837471859
439806.6316556651,4401619.265209539,434198.9801143995,4417222.650629358
434768.9583390627,4416495.161378114,446882.49996232736,4419412.588554653
445776.51978729235,4417591.164811171,441077.4611222851,4417352.9388535535
438496.2441114861,4408903.161780888,444189.4018508951,4429056.348141934
437166.5439254482,4431852.820358922,433579.4706343026,4416960.50872122
438504.7570129935,4408897.543604013,443438.2209379328,4434434.216119427
444598.41630667605,4435164.912235655,451691.70829300315,4419204.13976132
451520.0633934365,4419359.510406224,450673.3621271483,4416349.2274883585
451342.22784145206,4420150.921964787,450461.99368768436,4419742.578543558
451229.8247226097,4420345.880084068,441234.01138983556,4399416.079392528
440718.3855140284,4408744.666477523,444720.6325255192,4417918.405299389
444709.5984560211,4417693.164248448,454432.64507221786,4425952.368904258
455082.62304606254,4425406.853032707,439488.08895100205,4424111.79726787
439567.12773798447,4423739.326534125,437582.8172292184,4414947.652755511
437543.6290265111,4414965.73253338,435871.77478182357,4416484.710529251
436611.35838823277,4416489.635229873,432345.50882002397,4417504.138038219
432515.85702800896,4417626.949083312,436237.30394806754,4415618.088524603
436616.2240217402,4415530.576835187,435658.2183937176,4419649.9527091
435838.47101952013,4420048.0286237765,441314.5807935126,4416394.32442803
441841.5547799599,4415987.377334538,436248.1295104057,4418757.015071734
436242.25680233346,4418872.502116377,436053.1559079134,4422006.459288064
435193.53204532224,4422290.106375167,431861.45872468734,4424939.880772705
432293.08013743383,4423055.688476514,437606.45976530237,4428169.558087341
437620.10813111626,4428168.336174286,437078.8523071875,4431360.705710058
437556.4770751651,4431230.226660688,442112.81654864154,4424236.806334055
442137.14707452804,4401576.917201705,439827.0411330442,4401600.23613648
442819.92398488283,4400090.040937121,455739.68234379904,4428412.069143383
455721.05296388967,4428437.706376647,457266.4125189098,4420136.518500315
438535.50159130077,4408889.526981952,444706.9845480591,4435317.298707701
439666.30620681745,4433437.614567876,439928.3973332888,4423735.359444386
439936.35729348415,4423553.260217786,438286.3768254738,4418200.811258405
437484.2784038187,4418265.057959844,443971.5493310756,4417062.540671747
445039.24967708054,4418363.416376833,449445.47059002024,4417739.136099044
449825.5868445871,4418349.3168551475,453143.4196553512,4417906.449280969
440718.3511342737,4408740.226942898,444728.89854879025,4417879.496990756
444158.39364693675,4416543.932681746,441075.7760904611,4415361.67900906
440725.00719642057,4410593.794932704,444507.902411555,4418168.579183924
442517.85189424106,4416440.67020158,447807.6837163186,4416611.353528875
447702.2143804923,4416315.719635339,447772.7992684419,4415135.365794712
444836.0561983125,4414845.221116996,448315.3705994916,4424283.213091824
448331.66463605384,4424293.092172043,444753.25533528347,4417701.72779487
444165.4154304125,4415750.264210213,446828.21693768824,4410871.935523017
439761.03568434913,4400503.024013294,472860.7687769223,4420390.292302949
463492.1111660219,4417788.890198089,455511.7331846011,4411555.714450033
443020.3077461489,4400307.206954158,451315.121229407,4420322.026300701
455921.7146144424,4425797.0893653,443083.24740900076,4403939.548468975
454799.0525463733,4416313.703623002,452513.08034743916,4413581.604542573
450846.03797824244,4412091.515349104,443527.9691630372,4409666.87667191
444655.71913368924,4410604.308704335,451487.0194157434,4410786.586193165
451483.7765393154,4410949.766056843,447313.6787553039,4415019.754309502
448669.4980112007,4412292.2850378025,445995.2410642147,4414189.840710127
446310.1995867206,4412520.485920418,441301.00679894094,4419409.092776813
443769.4252987058,4418752.272946392,444967.794170817,4410693.07279704
445679.5439525256,4410800.090021663,438740.666370801,4410678.243850569
448842.8473945908,4412120.1932286,446150.55553784466,4417538.569266569
447632.4668656851,4413623.475129507,450169.15285381535,4405742.675398065
449576.81588831096,4406148.34252985,448357.006505303,4406164.2371964
453393.31669573375,4415716.130675382,457583.2193395629,4413019.0250512855
456849.50031661213,4413040.890074916,454755.4518001092,4411546.831944813
451671.65236917994,4412114.001144943,449470.4010865651,4412460.100301904
449566.220855868,4412462.797470505,450873.4178048172,4412358.83275848
447119.7157023578,4411949.884982769,445057.72432741994,4417367.65394467
446854.62723793014,4416145.089541706,447580.61662681407,4414542.8624422215
448275.54881749867,4412855.458244624,454802.14682221506,4415825.316507275
450240.2713861917,4414567.256886332,450243.68460668763,4413778.070326128
449514.8346700577,4412453.147180304,452283.87846611516,4412074.638689992
448191.6109354624,4412459.778763828,449309.92631248833,4413284.7347642565
447398.85719740234,4413605.100332486,450134.89489474666,4405740.678420488
