origin	destination	number
523	537	13
558	391	5
370	227	8
275	424	45
424	395	65
395	398	29
398	438	82
438	468	17
434	383	4
383	332	12
334	510	6
514	386	10
386	405	27
405	288	1
275	253	118
253	270	81
270	547	8
570	184	2
232	237	27
237	233	19
237	471	20
471	523	2
386	435	17
401	413	6
369	485	10
491	491	191
491	465	47
465	442	61
442	467	42
318	266	6
270	237	5
237	296	36
296	394	12
394	492	6
492	490	28
470	442	10
428	252	2
252	375	35
375	376	71
229	225	37
225	495	1
562	563	15
373	475	43
534	276	4
572	561	6
561	562	97
456	523	6
523	505	12
131	85	15
105	453	1
413	361	4
398	395	54
395	160	7
167	194	5
201	195	11
513	543	83
547	547	88
267	487	2
383	297	15
168	150	6
321	373	69
373	252	44
252	390	3
423	421	27
424	498	116
498	424	84
321	324	9
223	74	1
142	336	8
375	270	14
289	250	11
304	250	14
250	185	19
185	270	24
506	198	3
210	241	56
257	282	2
285	237	67
237	106	9
133	142	30
379	131	3
133	151	90
228	384	3
181	450	1
450	237	25
240	258	15
225	256	107
256	336	19
253	327	17
327	290	24
94	419	2
403	323	6
241	237	50
212	295	7
241	171	18
171	260	2
241	366	6
366	487	7
487	170	5
170	255	5
191	191	225
385	345	57
356	372	70
372	212	1
81	106	5
106	124	44
124	133	29
173	290	7
290	133	5
105	166	10
166	124	18
85	59	3
59	97	4
196	143	4
143	199	18
228	424	8
372	284	7
284	195	5
135	172	4
173	441	3
418	364	14
257	204	11
196	182	23
182	166	42
290	448	9
448	476	21
438	296	8
296	434	8
434	422	25
422	423	34
558	525	25
525	555	88
555	479	4
469	421	15
459	555	7
438	573	16
60	122	3
148	175	20
175	146	45
148	259	3
258	209	8
209	292	9
309	288	17
288	301	33
253	250	109
253	322	190
453	231	8
237	237	243
237	248	35
248	199	21
226	513	1
513	396	1
385	539	5
533	548	28
512	521	38
486	487	65
434	394	26
306	248	59
128	60	13
60	59	20
59	67	1
67	67	64
67	275	1
275	570	6
570	252	4
252	381	6
385	298	23
298	356	46
356	494	3
494	487	30
487	364	5
364	311	4
311	408	1
372	247	9
353	353	64
53	202	2
202	181	20
198	292	5
334	253	5
253	333	81
336	558	12
558	541	68
476	449	48
393	228	3
229	245	43
248	191	67
355	457	1
416	279	2
275	463	1
256	167	8
421	569	11
541	573	93
543	513	87
513	547	62
547	421	16
450	393	55
377	494	2
468	422	71
419	403	33
337	290	9
250	421	4
395	497	2
508	512	57
512	229	2
251	521	7
521	517	34
537	543	72
543	369	2
369	399	46
383	196	3
197	456	1
318	533	4
551	288	5
252	307	25
307	275	21
275	478	22
478	486	77
486	333	11
333	160	13
167	170	3
170	387	4
335	258	3
258	245	3
245	142	48
146	374	6
374	301	31
218	175	9
175	93	2
93	151	10
175	448	6
469	518	2
518	548	1
545	369	7
369	364	4
456	183	1
183	181	19
181	183	23
197	197	27
188	215	2
214	237	11
237	339	18
241	219	77
219	191	23
191	205	80
191	237	30
237	280	25
254	264	9
264	437	5
437	301	20
566	548	17
548	515	51
515	516	40
516	470	14
434	470	34
423	422	35
403	267	17
237	97	7
129	124	22
124	131	46
131	131	42
131	18	3
540	534	3
534	544	10
544	479	5
434	478	15
456	300	8
300	266	8
446	255	2
255	124	3
124	124	46
85	97	3
131	151	101
151	267	4
272	232	14
232	163	5
118	394	1
394	475	25
548	487	20
487	560	10
248	276	134
254	486	8
237	506	23
506	480	87
491	514	6
514	468	33
468	506	24
419	272	3
237	513	5
370	340	24
298	266	20
290	200	29
200	88	2
109	116	47
109	262	2
262	350	6
237	202	73
212	202	44
493	533	7
521	569	24
548	521	22
544	496	11
496	506	181
504	399	6
410	316	5
342	503	1
503	436	2
460	350	2
349	386	39
407	571	4
440	456	3
446	459	46
459	398	21
374	421	14
421	438	24
438	438	175
292	332	21
359	349	24
349	294	10
294	405	6
386	319	8
267	439	3
427	365	2
362	334	8
357	74	1
73	493	1
195	162	12
224	192	2
192	168	2
185	289	6
289	438	16
398	322	100
373	556	1
309	295	56
529	564	12
564	426	1
426	253	1
372	287	7
521	393	10
393	306	37
306	534	5
534	538	25
521	280	13
254	165	2
194	472	1
472	449	38
449	501	5
501	477	5
477	437	12
381	85	1
105	110	5
493	272	5
384	428	9
442	544	12
544	542	91
542	459	4
492	511	16
511	508	1
507	497	41
510	491	26
491	457	72
471	310	2
383	451	1
453	453	20
453	442	7
512	436	43
426	542	5
542	526	47
507	386	12
573	275	10
422	467	5
493	362	2
384	510	7
510	258	4
334	334	17
426	510	11
510	527	42
557	386	4
407	506	4
506	519	27
516	465	11
465	464	55
464	442	38
493	267	12
317	359	6
386	497	12
506	343	11
369	339	2
364	358	8
357	387	29
407	467	7
366	288	7
373	456	16
492	420	7
455	486	34
490	509	7
510	439	13
460	463	9
463	562	1
562	519	23
517	553	16
553	470	8
494	386	23
386	320	4
320	291	31
348	413	28
404	399	13
384	426	17
495	467	25
452	356	17
356	506	3
496	584	11
567	343	5
369	341	17
323	373	2
476	450	120
450	445	3
445	345	51
373	244	3
222	117	3
117	303	2
303	319	19
317	297	26
297	332	7
349	424	3
476	204	4
204	306	6
449	377	15
375	146	27
241	211	14
210	293	17
519	450	10
446	449	43
420	449	50
423	390	9
392	475	4
450	455	31
578	527	18
542	544	57
279	205	9
205	185	42
191	276	53
307	573	3
540	384	4
384	429	13
573	511	46
521	375	30
375	322	104
322	322	138
288	333	78
450	478	99
478	513	101
552	273	1
231	102	4
102	67	3
67	319	2
320	190	8
190	149	6
147	413	3
413	343	37
343	317	24
317	267	40
267	460	2
436	341	14
352	317	33
319	216	10
281	103	1
282	291	36
282	332	5
273	274	12
232	191	2
191	228	24
228	378	2
389	387	9
384	362	25
231	290	4
289	375	18
333	550	3
548	540	6
506	546	71
141	62	1
61	151	3
121	117	11
152	282	1
282	578	3
531	401	2
413	276	7
276	202	2
232	413	4
312	236	26
233	147	4
147	178	21
184	113	13
176	283	1
282	281	22
281	217	66
230	112	5
237	322	17
322	293	7
320	283	13
283	329	1
329	438	1
438	537	14
237	253	18
253	283	1
207	284	6
284	349	1
388	450	2
450	388	5
378	333	18
333	381	20
381	170	1
165	220	1
192	148	1
108	127	25
159	171	17
183	374	2
346	146	12
109	424	2
424	293	9
262	210	44
210	321	2
434	326	3
327	296	3
257	337	5
338	333	47
333	476	38
424	321	20
321	424	26
424	476	396
498	410	2
351	269	5
269	332	6
309	387	14
386	487	12
487	516	45
516	463	3
405	425	6
437	314	4
288	266	21
266	146	13
329	339	13
340	299	18
299	228	3
248	248	277
271	231	10
231	262	15
262	360	2
360	292	8
292	426	2
383	393	3
392	442	4
425	383	20
383	514	8
248	271	54
245	492	3
492	477	3
477	424	13
437	476	101
476	474	49
446	420	28
420	142	3
219	127	19
219	222	75
222	413	2
498	322	20
322	438	61
411	394	21
394	487	10
487	562	30
551	540	1
540	556	5
556	554	8
524	223	1
223	322	31
322	290	142
290	336	40
336	476	37
438	298	31
266	223	69
191	192	4
191	270	29
270	346	8
346	261	1
329	306	5
306	185	9
185	287	7
299	276	11
276	267	47
262	182	5
161	248	18
248	299	22
299	170	4
171	183	29
204	22	3
25	59	4
219	181	18
243	218	46
212	376	6
376	403	16
403	276	19
306	423	10
391	374	16
376	543	8
543	288	16
288	393	12
393	175	9
175	153	2
181	243	46
243	241	44
242	223	3
452	148	1
159	476	2
476	541	64
501	478	81
474	490	6
486	457	7
436	316	8
317	303	29
297	399	7
414	506	10
491	480	78
491	512	38
512	526	36
526	546	76
546	487	2
302	476	22
476	437	67
437	398	35
398	252	47
253	336	38
336	443	3
442	306	5
307	333	20
333	424	40
424	373	197
438	479	4
488	487	19
487	333	7
336	429	2
429	521	11
523	474	29
474	421	13
421	424	28
424	445	21
445	424	23
476	563	6
563	512	35
512	295	14
296	471	3
471	491	67
507	290	3
290	253	94
253	478	25
446	143	1
143	486	3
523	570	26
569	475	7
424	250	17
498	450	26
478	558	109
243	292	33
364	403	25
422	375	16
375	275	49
279	307	18
379	364	7
389	447	2
457	527	8
542	539	8
538	539	28
477	408	7
381	509	2
509	338	2
375	505	7
478	438	112
393	438	32
438	446	73
318	557	1
515	181	2
198	170	9
170	339	13
300	242	14
244	337	2
299	499	2
558	477	23
477	436	1
426	351	8
350	399	5
410	491	33
506	258	3
258	253	2
253	237	35
237	294	23
294	87	5
578	571	14
571	360	2
386	351	13
529	563	77
527	529	47
527	300	10
419	458	9
458	411	1
409	390	14
423	537	4
505	478	54
403	434	17
441	428	28
466	442	67
442	463	27
493	146	15
323	437	3
437	438	39
438	256	18
256	269	2
293	521	6
514	391	4
448	469	70
469	449	24
479	440	22
512	542	85
542	572	56
419	438	2
414	237	24
237	384	14
514	256	3
452	573	5
563	542	60
571	571	82
529	516	13
544	512	89
571	461	7
461	491	58
562	579	11
579	533	2
533	523	25
523	306	8
337	448	7
472	521	50
515	515	26
515	508	7
508	475	2
475	523	13
523	486	65
533	562	57
566	545	6
479	561	4
561	398	9
398	280	16
280	425	4
527	565	8
583	507	9
542	567	68
567	191	2
504	516	4
516	441	12
441	364	15
493	348	3
348	265	2
441	512	48
512	496	83
497	512	73
512	300	12
300	546	5
546	502	2
502	570	3
543	478	62
555	284	1
356	541	14
541	525	83
525	424	12
487	440	33
441	495	15
348	230	8
236	212	2
292	133	2
373	373	283
283	291	65
291	308	61
312	413	28
347	342	27
342	466	6
442	464	35
464	267	8
262	405	7
440	398	7
398	370	12
370	288	10
145	341	1
341	166	2
161	242	8
143	175	84
174	248	33
260	182	3
210	202	32
212	159	6
159	173	10
229	248	116
271	122	3
204	181	35
181	182	78
198	404	2
285	362	5
362	435	18
416	231	10
231	255	1
253	298	74
290	373	65
373	437	103
424	251	10
197	219	44
219	196	28
521	558	17
475	446	15
467	334	4
386	444	38
465	496	89
506	542	53
495	461	20
489	453	5
451	386	1
386	476	14
476	237	25
237	25	4
71	149	2
272	297	21
473	266	1
253	131	9
172	333	7
333	309	4
350	417	4
417	335	2
335	365	1
365	365	54
399	147	1
147	177	6
213	231	111
231	269	9
269	465	4
444	439	14
439	480	7
491	300	4
241	557	1
557	455	6
423	260	4
242	240	22
240	159	9
159	168	1
160	160	32
160	225	38
225	221	34
221	376	1
505	499	6
513	561	5
561	530	27
530	526	10
526	571	38
508	369	5
384	439	10
439	497	15
495	478	5
455	455	59
455	156	1
243	372	5
372	385	26
385	301	12
475	437	41
476	478	244
478	525	77
543	342	1
341	467	4
467	442	37
442	293	10
293	285	4
320	267	16
293	237	50
292	32	1
108	233	2
272	497	4
506	317	17
231	309	3
332	211	7
237	173	8
172	225	16
225	185	76
185	533	2
455	377	18
338	306	12
306	270	5
270	450	6
462	453	25
453	507	13
507	347	5
312	217	14
236	141	1
176	428	2
428	495	24
495	509	18
510	545	31
468	472	85
472	517	11
470	109	2
109	133	6
151	142	58
123	493	1
354	354	4
355	305	21
305	500	2
498	558	82
558	402	1
348	272	3
237	475	6
499	444	1
382	387	15
387	468	30
469	487	35
487	377	12
377	418	3
418	384	5
384	272	11
303	493	8
493	382	7
382	485	3
457	281	1
281	178	8
215	190	3
215	91	1
113	90	12
90	237	5
456	478	56
500	522	15
558	279	4
279	290	36
289	340	5
337	300	19
300	288	35
346	197	3
170	262	11
